Model,Test Accuracy,F1 Score,Precision,Recall,Training Time,ROC-AUC,Avg Precision
ResNet50,0.9996,0.9996,0.9992,1.0000,292.14s,1.0000,1.0000
ViT-B/16,0.9996,0.9996,0.9992,1.0000,354.02s,1.0000,1.0000
